Squad,Season,League,Poss (%),CrdY,CrdR,Discipline Points,Squad Size (TM),Total MV (€M),AMV (€M),CoA
Arsenal,2020-2021,Premier League,53.5,49,5,64,42,619.25,14.74,943.36
Aston Villa,2020-2021,Premier League,48.5,71,4,83,53,430.7,8.13,674.79
Brighton,2020-2021,Premier League,51.1,49,6,67,46,290.4,6.31,422.77
Burnley,2020-2021,Premier League,42.1,48,0,48,32,132.3,4.13,198.24
Chelsea,2020-2021,Premier League,60.9,51,3,60,39,889.2,22.8,1368.0
Crystal Palace,2020-2021,Premier League,40.6,56,2,62,36,193.85,5.38,333.56
Everton,2020-2021,Premier League,46.4,59,2,65,44,511.2,11.62,755.3
Fulham,2020-2021,Premier League,49.7,67,3,76,38,239.75,6.31,479.56
Leeds United,2020-2021,Premier League,57.3,61,1,64,39,238.1,6.11,391.04
Leicester City,2020-2021,Premier League,54.3,61,0,61,40,510.8,12.77,778.97
Liverpool,2020-2021,Premier League,62.1,40,0,40,43,969.65,22.55,902.0
Manchester City,2020-2021,Premier League,63.5,46,2,52,36,1040.0,29.01,1508.52
Manchester Utd,2020-2021,Premier League,55.7,64,1,67,39,770.05,19.74,1322.58
Newcastle United,2020-2021,Premier League,38.8,65,3,74,33,255.35,7.74,572.76
Sheffield United,2020-2021,Premier League,41.7,73,3,82,40,149.85,3.75,307.5
Southampton,2020-2021,Premier League,52.0,52,3,61,39,282.8,7.25,442.25
Tottenham Hotspur,2020-2021,Premier League,51.6,57,2,63,41,703.5,17.16,1081.08
West Brom,2020-2021,Premier League,37.9,51,4,63,43,141.15,3.28,206.64
West Ham United,2020-2021,Premier League,43.2,50,3,59,40,336.4,8.41,496.19
Wolves,2020-2021,Premier League,49.3,55,1,58,38,450.3,11.85,687.3
Arsenal,2021-2022,Premier League,52.8,67,4,79,41,613.05,14.95,1181.05
Aston Villa,2021-2022,Premier League,46.5,81,2,87,44,487.75,11.09,964.83
Brentford,2021-2022,Premier League,44.8,65,3,74,38,273.3,7.19,532.06
Brighton,2021-2022,Premier League,54.4,72,2,78,43,318.0,7.4,577.2
Burnley,2021-2022,Premier League,40.2,68,2,74,35,137.85,3.94,291.56
Chelsea,2021-2022,Premier League,61.8,63,1,66,44,914.5,20.78,1371.48
Crystal Palace,2021-2022,Premier League,51.1,69,1,72,33,271.05,8.21,591.12
Everton,2021-2022,Premier League,40.0,82,6,100,42,479.05,11.41,1141.0
Leeds United,2021-2022,Premier League,52.3,101,3,110,35,299.45,8.56,941.6
Leicester City,2021-2022,Premier League,52.0,55,1,58,40,526.55,13.16,763.28
Liverpool,2021-2022,Premier League,62.7,50,1,53,49,918.9,18.75,993.75
Manchester City,2021-2022,Premier League,67.9,42,2,48,39,1000.0,25.74,1235.52
Manchester Utd,2021-2022,Premier League,52.7,77,2,83,43,769.15,17.89,1484.87
Newcastle United,2021-2022,Premier League,40.4,81,2,87,34,313.9,9.23,803.01
Norwich City,2021-2022,Premier League,42.9,57,1,60,45,163.2,3.63,217.8
Southampton,2021-2022,Premier League,47.7,65,2,71,33,274.3,8.31,590.01
Tottenham Hotspur,2021-2022,Premier League,51.8,69,1,72,45,689.35,15.32,1103.04
Watford,2021-2022,Premier League,40.7,63,3,72,47,156.2,3.32,239.04
West Ham United,2021-2022,Premier League,47.9,52,3,61,37,354.9,9.59,584.99
Wolves,2021-2022,Premier League,49.5,62,2,68,38,376.95,9.92,674.56
Arsenal,2022-2023,Premier League,59.3,51,0,51,42,1000.0,23.83,1215.33
Aston Villa,2022-2023,Premier League,49.3,80,1,83,43,509.55,11.85,983.55
Bournemouth,2022-2023,Premier League,40.4,68,0,68,47,287.2,6.11,415.48
Brentford,2022-2023,Premier League,43.8,57,1,60,36,371.2,10.31,618.6
Brighton,2022-2023,Premier League,60.2,58,0,58,42,529.8,12.61,731.38
Chelsea,2022-2023,Premier League,58.7,81,3,90,43,994.95,23.14,2082.6
Crystal Palace,2022-2023,Premier League,46.3,82,3,91,39,323.05,8.28,753.48
Everton,2022-2023,Premier League,42.8,81,2,87,40,413.15,10.33,898.71
Fulham,2022-2023,Premier League,48.8,80,1,83,47,295.1,6.28,521.24
Leeds United,2022-2023,Premier League,47.0,89,3,98,47,345.15,7.34,719.32
Leicester City,2022-2023,Premier League,47.7,63,2,69,38,490.7,12.91,890.79
Liverpool,2022-2023,Premier League,60.8,57,1,60,39,811.85,20.82,1249.2
Manchester City,2022-2023,Premier League,64.7,44,1,47,34,1150.0,33.7,1583.9
Manchester Utd,2022-2023,Premier League,53.7,78,2,84,48,847.75,17.66,1483.44
Newcastle United,2022-2023,Premier League,52.3,61,1,64,38,541.6,14.25,912.0
Nottingham Forest,2022-2023,Premier League,37.6,84,0,84,50,376.25,7.53,632.52
Southampton,2022-2023,Premier League,44.5,73,0,73,46,419.95,9.13,666.49
Tottenham Hotspur,2022-2023,Premier League,50.0,77,3,86,34,649.1,19.09,1641.74
West Ham United,2022-2023,Premier League,42.1,44,0,44,44,465.6,10.58,465.52
Wolves,2022-2023,Premier League,49.9,85,6,103,43,497.65,11.57,1191.71
Arsenal,2023-2024,Premier League,58.2,64,2,70,40,1200.0,30.08,2105.6
Aston Villa,2023-2024,Premier League,53.1,94,4,106,45,709.65,15.77,1671.62
Bournemouth,2023-2024,Premier League,44.4,79,3,88,42,401.75,9.57,842.16
Brentford,2023-2024,Premier League,45.2,89,2,95,42,428.78,10.21,969.95
Brighton,2023-2024,Premier League,59.8,90,3,99,49,524.4,10.7,1059.3
Burnley,2023-2024,Premier League,47.4,77,7,98,39,273.48,7.01,686.98
Chelsea,2023-2024,Premier League,58.6,109,4,121,56,1010.0,18.1,2190.1
Crystal Palace,2023-2024,Premier League,42.3,73,2,79,40,446.58,11.16,881.64
Everton,2023-2024,Premier League,40.8,82,1,85,34,391.75,11.52,979.2
Fulham,2023-2024,Premier League,50.6,84,2,90,35,384.35,10.98,988.2
Liverpool,2023-2024,Premier League,61.3,69,5,84,45,955.65,21.24,1784.16
Luton Town,2023-2024,Premier League,42.4,71,0,71,46,140.9,3.06,217.26
Manchester City,2023-2024,Premier League,65.2,53,2,59,36,1460.0,40.63,2397.17
Manchester Utd,2023-2024,Premier League,50.6,83,1,86,46,808.35,17.57,1511.02
Newcastle United,2023-2024,Premier League,52.2,79,1,82,45,652.25,14.49,1188.18
Nottingham Forest,2023-2024,Premier League,40.6,82,3,91,46,501.35,10.9,991.9
Sheffield United,2023-2024,Premier League,35.8,101,5,116,45,152.35,3.39,393.24
Tottenham Hotspur,2023-2024,Premier League,61.6,92,4,104,41,838.5,20.45,2126.8
West Ham United,2023-2024,Premier League,41.1,82,5,97,36,487.5,13.54,1313.38
Wolves,2023-2024,Premier League,48.9,102,4,114,47,442.73,9.42,1073.88
Arsenal,2024-2025,Premier League,56.9,70,6,88,42,1160.0,27.58,2427.04
Aston Villa,2024-2025,Premier League,50.5,76,4,88,41,680.55,16.6,1460.8
Bournemouth,2024-2025,Premier League,48.5,97,3,106,39,518.6,13.3,1409.8
Brentford,2024-2025,Premier League,47.9,62,1,65,38,427.85,11.26,731.9
Brighton,2024-2025,Premier League,52.3,78,3,87,49,667.58,13.62,1184.94
Chelsea,2024-2025,Premier League,57.1,101,2,107,58,1190.0,20.59,2203.13
Crystal Palace,2024-2025,Premier League,42.8,80,4,92,40,526.85,13.17,1211.64
Everton,2024-2025,Premier League,40.9,82,2,88,39,363.23,9.31,819.28
Fulham,2024-2025,Premier League,52.3,80,2,86,28,362.35,12.94,1112.84
Ipswich Town,2024-2025,Premier League,40.6,93,5,108,35,270.1,7.72,833.76
Leicester City,2024-2025,Premier League,45.4,87,0,87,40,253.35,6.33,550.71
Liverpool,2024-2025,Premier League,57.7,60,2,66,35,950.95,27.17,1793.22
Manchester City,2024-2025,Premier League,61.3,59,2,65,44,1360.0,30.86,2005.9
Manchester Utd,2024-2025,Premier League,53.5,86,3,95,49,825.0,16.84,1599.8
Newcastle United,2024-2025,Premier League,51.3,68,1,71,36,677.53,18.82,1336.22
Nottingham Forest,2024-2025,Premier League,41.2,90,2,96,33,481.3,14.58,1399.68
Southampton,2024-2025,Premier League,48.5,89,3,98,42,310.05,7.38,723.24
Tottenham Hotspur,2024-2025,Premier League,54.7,72,1,75,41,777.3,18.96,1422.0
West Ham United,2024-2025,Premier League,48.4,82,3,91,29,400.7,13.82,1257.62
Wolves,2024-2025,Premier League,48.1,79,2,85,44,433.05,9.84,836.4
Alavés,2020-2021,La Liga,46.9,96,8,120,35,79.8,2.28,273.6
Athletic Club,2020-2021,La Liga,49.9,82,3,91,32,204.15,6.38,580.58
Atlético Madrid,2020-2021,La Liga,52.3,100,0,100,39,773.1,19.82,1982.0
Barcelona,2020-2021,La Liga,65.5,72,2,78,32,813.5,25.42,1982.76
Cádiz,2020-2021,La Liga,34.8,81,3,90,41,47.65,1.16,104.4
Celta Vigo,2020-2021,La Liga,53.3,109,5,124,41,155.85,3.8,471.2
Eibar,2020-2021,La Liga,49.3,71,3,80,34,83.4,2.45,196.0
Elche,2020-2021,La Liga,47.5,99,3,108,41,45.65,1.11,119.88
Getafe,2020-2021,La Liga,43.3,120,7,141,33,170.1,5.15,726.15
Granada,2020-2021,La Liga,41.4,97,6,115,44,122.65,2.79,320.85
Huesca,2020-2021,La Liga,48.3,69,2,75,34,64.1,1.89,141.75
Levante,2020-2021,La Liga,52.2,68,1,71,34,113.0,3.32,235.72
Osasuna,2020-2021,La Liga,43.2,80,5,95,36,96.75,2.69,255.55
Real Betis,2020-2021,La Liga,53.6,93,8,117,33,207.7,6.29,735.93
Real Madrid,2020-2021,La Liga,59.3,59,2,65,37,787.3,21.28,1383.2
Real Sociedad,2020-2021,La Liga,54.9,81,1,84,38,406.6,10.7,898.8
Sevilla,2020-2021,La Liga,60.9,79,2,85,38,418.25,11.01,935.85
Valencia,2020-2021,La Liga,46.9,82,5,97,35,278.85,7.97,773.09
Valladolid,2020-2021,La Liga,45.2,93,8,117,41,63.35,1.55,181.35
Villarreal,2020-2021,La Liga,55.2,67,5,82,36,292.6,8.13,666.66
Alavés,2021-2022,La Liga,42.0,93,4,105,43,65.35,1.52,159.6
Athletic Club,2021-2022,La Liga,48.1,90,4,102,31,226.05,7.29,743.58
Atlético Madrid,2021-2022,La Liga,50.6,111,7,132,43,661.8,15.39,2031.48
Barcelona,2021-2022,La Liga,64.2,97,5,112,47,735.6,15.65,1752.8
Cádiz,2021-2022,La Liga,41.3,105,3,114,37,67.8,1.83,208.62
Celta Vigo,2021-2022,La Liga,55.2,87,3,96,34,120.0,3.53,338.88
Elche,2021-2022,La Liga,48.4,104,6,122,37,72.98,1.97,240.34
Espanyol,2021-2022,La Liga,46.9,99,7,120,38,131.6,3.46,415.2
Getafe,2021-2022,La Liga,41.5,121,8,145,43,208.68,4.85,703.25
Granada,2021-2022,La Liga,44.7,105,4,117,39,103.75,2.66,311.22
